Company Name,Company Number
Dr Vania Healthcare,Company 1
Dr Andrew Culbard,Company 3
Holytown Dental Surgery,Company 4
Sean Daly,Company 5
Harley Street Aesthetics,Company 6
Wish Dental,Company 7
Everest Clinic,Company 8
L & H Care Dentist,Company 9
Huntly Dental Practice,Company 10
Dr Colin Lyons,Company 11
Deja Vu Aesthetic Training Academy Ltd,Company 12
Kornia Health,Company 13
Dr Stanimira (Stassi) Stavreva,Company 14
The Park Practice,Company 15
Oasis Dental Care,Company 16
Oasis York Dental Practice,Company 17
Martin Dental Care,Company 18
Faceworks Aesthetics Ltd,Company 19
Jazic Consulting Limited,Company 20
Viva Skin Clinics,Company 21
Dr Jonathan Doran,Company 22
Clinetix Rejuvenation Ltd,Company 23
Glamderm,Company 24
Skin Associates Ltd,Company 25
Rj Medical Consultants Ltd,Company 26
The White Cliffs Medical Centre,Company 27
Start Healthcare Ltd,Company 28
Adriana Sinclair,Company 29
Indulgence Skin And Beauty Clinic,Company 30
Beautified,Company 31
Intravita International Training,Company 32
Heather Irvine Skin & Body Clinic,Company 33
Clinica Fiore Ltd,Company 34
Olio International Ltd,Company 35
Dr Jardis Volpe,Company 36
Gerson Medical,Company 37
Hutton Village Dental Clinic,Company 38
Laughter Lines Aesthetics,Company 39
The Lindens Dental Centre,Company 40
Dr Christine Simpson,Company 41
Aesthetica Clinic - Sheffield,Company 42
Newborough Cosmetic Skin Clinic,Company 43
Manchester Cosmetics Clinic,Company 44
Epworth House Facial Clinic,Company 45
Picture Perfect Aesthetics Ltd,Company 46
The Garrett Clinic,Company 47
Elixir Treatments Ltd,Company 48
W R Technical Consulting Ltd,Company 49
Signature Skincare,Company 50
Dr Sara Akaby,Company 51
The London Face And Skin Clinic,Company 52
Dermashine Healthcare Ltd,Company 53
Deborah Forsythe Clinics,Company 54
Intravita Medical Ltd,Company 55
Lane End Medical,Company 56
Oxford & Leamington Clinic,Company 57
Fiona Collins Aesthetics Ltd,Company 58
Eurodental Care,Company 59
Dr Mohammed Tauqir Ahmad,Company 60
Merimed Ltd,Company 61
Dr Haus Dermatology,Company 62
Cotswold Face Aesthetics Clinic,Company 63
Invictus Humans,Company 64
Crendon Skin Clinic,Company 65
E-Aesthetics,Company 66
Dr Tariq Ahmad,Company 67
Dr Sanjay Duhan,Company 68
Essex Clinic And Salon,Company 69
Mulberry House Clinic,Company 70
Perfect Skin Solutions,Company 71
Sussex Beauty Clinic,Company 72
Hebe Medical Aesthetics,Company 73
Bellecell Ltd,Company 74
Springwell Clinic,Company 75
The Good Skin Company,Company 76
Corner House Dental Practice,Company 77
Pure Dental Surgery Ltd,Company 78
Beautox Clinic,Company 79
White Swan Aesthetics,Company 80
Hornchurch Healthcare Ltd,Company 81
The Harley Street Skin Clinic,Company 82
Fine Features,Company 83
Dental & Skin,Company 84
Dr Varsha Patel,Company 85
Skin & Sanctuary,Company 86
Aesthetics At The Grove,Company 87
Jeremy Howard Ltd,Company 88
Professional Skin Ltd,Company 89
Tony Petrou Amerikanos,Company 90
Aspire Medical Aesthetics,Company 91
Plastic & Dermatological Surgery,Company 92
Fifi Hair And Beauty Salon,Company 93
The Chelmsford Skin Clinic,Company 94
Advanced Aesthetics,Company 95
Agno Aesthetics Ltd,Company 96
Courthouse Clinics Wilmslow,Company 97
Court House Wimpole,Company 98
Your Dream Aesthetics,Company 99
J Cosmetics Limited,Company 100
Meduza Ltd,Company 101
Dr Karl Strawbridge,Company 102
Enhance Skin Clinic,Company 103
Grbi Ltd,Company 104
Courthouse Medispa Jill Zander,Company 105
Courthouse Clinics Maidenhead,Company 106
Courthouse Clinics Brentwood,Company 107
Courthouse Clinics Birmingham,Company 108
Elements Retreat Health & Wellbeing,Company 109
Age Reversal Therapies,Company 110
Ciley Aesthetics,Company 111
Lip Aesthetics & Training Academy Ltd,Company 112
Harley Street Beauty,Company 113
My Face Doctor,Company 114
The London Cosmetic Clinic Ltd,Company 115
Apsaras Aesthetic Clinic,Company 116
Carol Mulready Dental Practice,Company 117
The Lodge,Company 118
Pure Age Management,Company 119
Skinhance Clinic,Company 120
Tarrant Street Clinic,Company 121
Skinfinity Cosmetic Clinic,Company 122
Darika De Bacq Rose Clinic,Company 123
Courthouse Haywards Heath,Company 124
Courthouse Clinics Watford,Company 125
Dominic Bray,Company 126
Basin Lane Aesthetics Ltd,Company 127
J B Aesthetics Ltd,Company 128
Light Touch Clinic Ltd,Company 129
Brunswick Practice Ltd,Company 130
Emeline Hartley Associates Ltd,Company 131
Selston Cosmetic Clinic,Company 132
Canterbury Skin And Laser Clinic Limited,Company 133
My Face Aesthetics,Company 134
The Wellness Clinic,Company 135
Mayfair Practice,Company 136
Total Aesthetic Beauty Ltd,Company 137
My Beauty Doctor Ltd,Company 138
Regency Clinic,Company 139
Nu Viva Aesthetics,Company 140
Arla Aesthetics,Company 141
Consultan Plastic Surgeon,Company 142
Maria Attardi,Company 143
Chamonix Clinic,Company 144
Belle Secrets Ltd,Company 145
A New You,Company 146
Luxe Aesthetics,Company 147
River Aesthetics,Company 148
Destination Skin,Company 149
Select Aesthetics,Company 150
The Favero Dental Clinic,Company 151
Dr Aarti Narayan-Denning,Company 152
Barbara Casey,Company 153
Aesthetic Skin Centre,Company 154
Paul Edmonds Hair & Beauty,Company 155
Sg Skincare Ltd,Company 156
Hampshire Face And Laser Clinic,Company 157
Essex Permanent Make Up,Company 158
Non Account,Company 159
National Slimming Centre Accounts,Company 160
Harmony Aesthetics Clinic,Company 161
Fiona Clossick Aesthetics,Company 162
Dentistry @ 68,Company 163
Lipomed Ltd,Company 164
The Saleh Aesthetic Clinic,Company 165
It'S Your Face Aesthetics Ltd,Company 166
Youglo,Company 167
Skin Excellence Clinics,Company 168
Soulcare Aesthetics,Company 169
The Rejuvenation Clinic,Company 170
Allison Jeffery Skin Health And Laser Clinic,Company 171
Aurelia Aesthetics,Company 172
Nu-Viva Aesthetics,Company 173
The Private Clinic - Northampton,Company 174
London Skin Clinic Ltd - Harrow,Company 175
Making Faces,Company 176
Simply Aesthetics,Company 177
Beauty Evolution Ltd,Company 178
Skin Aesthetics,Company 179
Hillmy Medical,Company 180
Halo Aesthetics Cosmetic Skin Clinic,Company 181
N. Webster Limited,Company 182
Nadine El-Chab,Company 183
Outline Clinic Ltd,Company 184
Kb Aesthetics,Company 185
Johal Health Consultancy,Company 186
Jem Cosmetic,Company 187
Harpenden Skin Clinic,Company 188
Dr Thierry Vidal,Company 189
Alberti Medical Limited,Company 190
Eudelo Clinic,Company 191
Daisy'S Beauty House,Company 192
Health & Aesthetics,Company 193
The Cosmetic Doctors Company Ltd,Company 194
Rtw Skin,Company 195
Medical & Aesthetic Clinic London Ltd,Company 196
Dr Lina Pociute,Company 197
Yuchi Medical,Company 198
Nydg Uk,Company 199
Discover Medical Aesthetics (T - Discover Laser),Company 200
Cosmetic Skin Clinic,Company 201
Vanity Aesthetics & Beauty Ltd,Company 202
H & S Clinic Ltd,Company 203
Cosmetic Facial Uk,Company 204
Dr Darja Voropai,Company 205
Air Aesthetics,Company 206
Lumley Aesthetics Llp,Company 207
Defy Time Ltd,Company 208
The White Rooms Clinic,Company 209
Cs Aesthetics,Company 210
Ashling Donnelly Bespoke Aesthetics,Company 211
Arte Novi Clinic Ltd,Company 212
The Retreat Beauty,Company 213
Mirabel Clinic,Company 214
The Private Clinic Bmi Paddocks,Company 215
The Cosmetic Skin Clinic,Company 216
Sarivaa Aesthetics Ltd,Company 217
Ag Dentistry,Company 218
Ramsay Health Care Uk Operations Ltd,Company 219
Younger U Aesthetics,Company 220
Advanced Skin Lounge,Company 221
Dermabella Aesthetics,Company 222
B Fisher,Company 223
Brown'S Clinic Ltd,Company 224
Lb Medica Ltd,Company 225
Lk Aesthetics,Company 226
Biorevitalisation Ltd,Company 227
Jane Vaughan,Company 228
Blemish Ltd,Company 229
Brighton Beautiful,Company 230
Welivere Aesthetics Clinic,Company 231
Skinjex,Company 232
Bamford Aesthetics,Company 233
Dr Tariq Jumerin,Company 234
Rsn Lasers Ltd,Company 235
Novellus Aesthetics Ltd,Company 236
The Cosmetic Clinic,Company 237
Revivify London,Company 238
The Crescent Clinic,Company 239
Kent Facial Practice Ltd,Company 240
Claire Coleman Cosmetic,Company 241
Facetech,Company 242
Angel Face Medical Aesthetics,Company 243
Health & Aesthetic Clinic Ltd,Company 244
Avril Ward-Henry,Company 245
Jm Aesthetics,Company 246
Aesthetic Nursing Services,Company 247
West Byfleet Health Centre,Company 248
Aestetique,Company 249
Kosmedico,Company 250
Avid Aesthetics,Company 251
Teena Williams,Company 252
Non Surgical Beauty,Company 253
Bournemouth Laser Clinic,Company 254
Natasha Lucy Clinics,Company 255
Marie Duckett Aesthetics Ltd,Company 256
Infinity Dental Spa,Company 257
La Hatton Aesthetics,Company 258
Jane Laferla,Company 259
The Inner Goddess Ltd,Company 260
Skin Solutions Clinic,Company 261
Jennifer Gilmartin Aesthetics Ltd,Company 262
Evgeniya Komarova,Company 263
The Cadogan Clinic Limited,Company 264
Revere Clinics,Company 265
Avanti Aesthetics Academy,Company 266
Specialist Skin Clinic,Company 267
Dr Kasia Brennan,Company 268
Dr Dinesh K Dhunna,Company 269
Aestha Clinic,Company 270
Prestige Aesthetics,Company 271
Skin Appeal Clinic,Company 272
Sandcastle Trust,Company 273
Anna Baker Aesthetics,Company 274
Serene Aesthetics Ltd,Company 275
Smile Solutions,Company 276
Pure Perfection Clinic,Company 277
Samina Haider,Company 278
R&R Aesthetics,Company 279
Age Refined,Company 280
Mjr Aesthetics,Company 281
Simon Lee Clinic,Company 282
The Skin Studio,Company 283
Jo Ferriday Aesthetics Ltd,Company 284
Jayne Day Aesthetics,Company 285
Skinfinity,Company 286
Rewonder Ltd,Company 287
Face & Body,Company 288
Shine Medical,Company 289
Mp Medical Services Ltd,Company 290
Humed Ltd,Company 291
Cantenbury Skin And Laser Clinic,Company 292
Henley Clinic Ltd,Company 293
Aesthetic Health Ltd,Company 294
Meon Dental Practice,Company 295
Dr Gabriela Mercik Clinic,Company 296
Dr Eric Huang,Company 297
The Private Clinic,Company 298
Medikas,Company 299
Dr Bashi,Company 300
2Glow Aesthetics,Company 301
Norton Cosmetic Clinic Ltd,Company 302
Appearance Based Medicine,Company 303
The Cosmetix Clinic Ltd,Company 304
Alison Taylor Medical Cosmetics Ltd,Company 305
About Face,Company 306
Has Pharmacare Ltd,Company 307
Transform,Company 308
Coastal Skinthetics Ltd,Company 309
Dermoperfection Cosmetic Services Ltd,Company 310
The New You Skin Clinic Ltd,Company 311
Penhance Ltd,Company 312
Initial Medical Care Ltd,Company 313
Revival Aesthetics Ltd,Company 314
Rejuvinox,Company 315
Nia Jones,Company 316
Elite Surgical Ltd,Company 317
Natural Look Skin Clinic,Company 318
Re-Enhance,Company 319
La Strachan,Company 320
Kerry Hanaphy Ltd,Company 321
East Midlands Laser And Cosmetic Clinic Ltd,Company 322
The Grove Skin Clinic,Company 323
Private Medical Branch,Company 324
The Gingerbread Centre For Health,Company 325
Beaconsfield Therapies,Company 326
Horrington Clinic,Company 327
No Eleven Dental,Company 328
The Smart Clinics,Company 329
The Shore Skin Clinic,Company 330
Riverbanks Clinic,Company 331
The Esho Clinic,Company 332
Dr Michael Prager Clinic,Company 333
Persona Cosmetic Medicare Ltd,Company 334
Vie Aesthetics,Company 335
Toner Dental Surgery,Company 336
Dr Farooq Hameed,Company 337
Dr David Jack,Company 338
Dr Dancey,Company 339
Dr Christine Medical Aesthetics,Company 340
Bupa Dental,Company 341
Studio Clinic,Company 342
Clinic Be,Company 343
Kiwi Skin Ltd,Company 344
Claremont Clinic,Company 345
The Fine Clinic,Company 346
Aquis Aesthetics,Company 347
Courthouse Clinic - Yorkshire,Company 348
Courthouse - Hereford,Company 349
The Medical Aesthetic Clinic,Company 350
Bea Skin Clinic,Company 351
Vanessa Goodman,Company 352
Va Aesthetics,Company 353
Tracey Sweeney Aesthetics,Company 354
Sarah Burns Orthodontics,Company 355
Hilton Skin Clinics,Company 356
Belvista Medics,Company 357
Elle Aesthetics,Company 358
The Look You Deserve,Company 359
Fab Aesthetics Ltd,Company 360
Kp Aesthetics,Company 361
Bo-Eautiful,Company 362
Ems Aesthetics Ltd,Company 363
Eas Aesthetic Services Ltd,Company 364
Dr Tuya Chuluuntulga,Company 365
Illuminate Skin Clinics Ltd,Company 366
