iter	RMSE
0	158.2209601
1	146.7838828
2	136.8778607
3	127.4184727
4	118.9848856
5	111.7761027
6	105.0259479
7	99.18239283
8	93.86936703
9	88.99236994
10	84.40779461
11	80.79684917
12	76.59895693
13	73.17730902
14	70.37611384
15	68.0973277
16	65.6425492
17	63.22013861
18	61.46449153
19	59.69446763
20	58.12931709
21	56.66136994
22	55.19695563
23	53.97595313
24	52.72258652
25	51.535679
26	50.59807142
27	49.72019384
28	48.92556808
29	48.17353468
30	47.39201811
31	46.77013072
32	46.2375317
33	45.74356016
34	45.16288992
35	44.7019622
36	44.29343943
37	43.95755015
38	43.65438614
39	43.37347265
40	42.98550952
41	42.66489259
42	42.30346724
43	42.01698558
44	41.69757123
45	41.39480764
46	41.17347067
47	40.92478807
48	40.68746038
49	40.48885368
50	40.18117193
51	39.90628284
52	39.56240078
53	39.38308704
54	39.1771386
55	38.98182536
56	38.80217195
57	38.65077042
58	38.47516612
59	38.32817036
60	38.20356329
61	38.03364121
62	37.88104824
63	37.74091624
64	37.55145084
65	37.3379199
66	37.23745236
67	37.04095465
68	36.93233426
69	36.78196111
70	36.65381305
71	36.55119363
72	36.39052927
73	36.2924162
74	36.1322867
75	36.02054345
76	35.84340484
77	35.73923107
78	35.64161169
79	35.56214427
80	35.45396129
81	35.36223033
82	35.28897953
83	35.16701909
84	35.09743134
85	34.98130748
86	34.88358772
87	34.80688215
88	34.71164462
89	34.59922967
90	34.54104483
91	34.46973993
92	34.39534728
93	34.30768912
94	34.23450662
95	34.16809394
96	34.10490803
97	34.06571889
98	33.96749892
99	33.91189781
100	33.81680826
101	33.74823642
102	33.6377507
103	33.56976328
104	33.48969323
105	33.42484142
106	33.35310208
107	33.28021396
108	33.21247593
109	33.15567785
110	33.08069727
111	33.00841115
112	32.96143576
113	32.89334476
114	32.84803772
115	32.78593551
116	32.73507187
117	32.66400793
118	32.58811862
119	32.52633533
120	32.47745647
121	32.42063187
122	32.35458198
123	32.29324483
124	32.22679325
125	32.18355656
126	32.14616786
127	32.09929117
128	32.03460843
129	31.98055462
130	31.92335298
131	31.86664714
132	31.80533608
133	31.76720372
134	31.71743278
135	31.68002018
136	31.63102281
137	31.5905176
138	31.55611177
139	31.51616966
140	31.48146329
141	31.42724944
142	31.36887095
143	31.31264425
144	31.27592395
145	31.23597282
146	31.18899669
147	31.15124729
148	31.12202067
149	31.07931703
150	31.04077089
151	30.99710149
152	30.95976397
153	30.91480782
154	30.87836761
155	30.83679971
156	30.79127858
157	30.76419906
158	30.72339836
159	30.69220956
160	30.66219586
161	30.62025666
