iter	Passed	Remaining
0	15	7549
1	25	6437
2	37	6203
3	51	6356
4	63	6286
5	74	6116
6	86	6069
7	101	6226
8	114	6220
9	125	6165
10	136	6073
11	150	6104
12	165	6186
13	177	6172
14	188	6108
15	202	6111
16	214	6107
17	228	6125
18	240	6097
19	253	6082
20	266	6089
21	279	6080
22	292	6066
23	303	6019
24	315	6001
25	327	5974
26	338	5930
27	350	5908
28	362	5891
29	375	5875
30	386	5844
31	399	5837
32	412	5841
33	426	5844
34	437	5810
35	450	5800
36	462	5792
37	475	5782
38	486	5745
39	498	5733
40	511	5724
41	524	5718
42	535	5688
43	547	5678
44	561	5673
45	574	5672
46	584	5635
47	597	5625
48	610	5618
49	623	5611
50	634	5582
51	646	5571
52	660	5566
53	672	5558
54	683	5531
55	696	5522
56	709	5513
57	722	5507
58	733	5482
59	746	5473
60	760	5475
61	773	5467
62	786	5452
63	797	5435
64	818	5480
65	835	5491
66	892	5767
67	924	5872
68	954	5964
69	967	5944
70	978	5913
71	991	5893
72	1004	5874
73	1017	5855
74	1028	5828
75	1041	5809
76	1054	5792
77	1067	5773
78	1081	5763
79	1098	5767
80	1112	5756
81	1124	5729
82	1138	5717
83	1152	5705
84	1165	5692
85	1179	5678
86	1190	5649
87	1202	5628
88	1214	5606
89	1225	5581
90	1236	5557
91	1249	5542
92	1261	5520
93	1271	5493
94	1283	5472
95	1295	5451
96	1305	5425
97	1317	5405
98	1330	5387
99	1341	5367
100	1352	5343
101	1365	5326
102	1376	5306
103	1387	5282
104	1399	5263
105	1410	5244
106	1421	5221
107	1434	5205
108	1445	5185
109	1458	5170
110	1469	5149
111	1481	5131
112	1492	5112
113	1503	5090
114	1514	5071
115	1527	5056
116	1539	5038
117	1549	5017
118	1562	5001
119	1574	4987
120	1585	4965
121	1597	4948
122	1609	4934
123	1621	4916
124	1631	4894
125	1643	4877
126	1655	4861
127	1665	4841
128	1677	4825
129	1690	4810
130	1701	4791
131	1712	4774
132	1725	4761
133	1737	4745
134	1747	4725
135	1760	4712
136	1772	4697
137	1783	4678
138	1795	4662
139	1807	4648
140	1820	4634
141	1831	4616
142	1843	4602
143	1856	4590
144	1868	4575
